atom_site_type_symbol,atom_site_fract_x,atom_site_fract_y,atom_site_fract_z,predicted_output
"Pu', 'Pu', 'Pu', 'Pu', 'Pu', 'Pu', 'Pu', 'Pu', 'Pu', 'Pu', 'Pu', 'Pu', 'Pu', 'Pu', 'Pu', 'Pu', 'Pu', 'Pu', 'Pu', 'Pu', 'Rh', 'Rh', 'Rh', 'Rh', 'Rh', 'Rh', 'Rh', 'Rh', 'Rh', 'Rh', 'Rh', 'Rh', 'Rh', 'Rh', 'Rh', 'Rh'","0.99363200', '0.49363200', '0.50636800', '0.00636800', '0.99363200', '0.49363200', '0.50636800', '0.00636800', '0.87406500', '0.37406500', '0.62593500', '0.12593500', '0.12593500', '0.62593500', '0.37406500', '0.87406500', '0.37458100', '0.87458100', '0.12541900', '0.62541900', '0.79795200', '0.29795200', '0.70204800', '0.20204800', '0.20204800', '0.70204800', '0.29795200', '0.79795200', '0.19887800', '0.69887800', '0.30112200', '0.80112200', '0.97972200', '0.47972200', '0.52027800', '0.02027800'","0.81959500', '0.68040500', '0.31959500', '0.18040500', '0.81959500', '0.68040500', '0.31959500', '0.18040500', '0.65327300', '0.84672700', '0.15327300', '0.34672700', '0.34672700', '0.15327300', '0.84672700', '0.65327300', '0.03431400', '0.46568600', '0.53431400', '0.96568600', '0.45550500', '0.04449500', '0.95550500', '0.54449500', '0.54449500', '0.95550500', '0.04449500', '0.45550500', '0.71220600', '0.78779400', '0.21220600', '0.28779400', '0.05198600', '0.44801400', '0.55198600', '0.94801400'","0.91170900', '0.58829100', '0.08829100', '0.41170900', '0.58829100', '0.91170900', '0.41170900', '0.08829100', '0.36537300', '0.13462700', '0.63462700', '0.86537300', '0.63462700', '0.86537300', '0.36537300', '0.13462700', '0.75000000', '0.75000000', '0.25000000', '0.25000000', '0.53320400', '0.96679600', '0.46679600', '0.03320400', '0.46679600', '0.03320400', '0.53320400', '0.96679600', '0.75000000', '0.75000000', '0.25000000', '0.25000000', '0.75000000', '0.75000000', '0.25000000', '0.25000000'","[...,.75 00 05 00 [.]00 075 05 [. [..] 05"
"V', 'Ni', 'Ni', 'Ni'","0.00000000', '0.75000000', '0.25000000', '0.50000000'","0.00000000', '0.25000000', '0.75000000', '0.50000000'","0.00000000', '0.50000000', '0.50000000', '0.00000000'","[.75 05 025 075 025 [.,.]05 075"
"Sc', 'Sc', 'Sc', 'Sc', 'Sc', 'Sc', 'Sc', 'Sc', 'Sc', 'Sc', 'Sc', 'Sc', 'Sc', 'Sc', 'Sc', 'Sc', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O'","0.50000000', '0.50000000', '0.00000000', '0.00000000', '0.78568000', '0.71432000', '0.25000000', '0.75000000', '0.03568000', '0.46432000', '0.21432000', '0.28568000', '0.75000000', '0.25000000', '0.96432000', '0.53568000', '0.48902600', '0.22776100', '0.01097400', '0.27223900', '0.22645200', '0.27354800', '0.46518700', '0.03481300', '0.45421300', '0.76257400', '0.73742600', '0.04578700', '0.51097400', '0.77223900', '0.98902600', '0.72776100', '0.77354800', '0.72645200', '0.53481300', '0.96518700', '0.54578700', '0.23742600', '0.26257400', '0.95421300'","0.00000000', '0.50000000', '0.50000000', '0.00000000', '0.25000000', '0.75000000', '0.03568000', '0.46432000', '0.78568000', '0.71432000', '0.75000000', '0.25000000', '0.96432000', '0.53568000', '0.21432000', '0.28568000', '0.22645200', '0.27354800', '0.46518700', '0.03481300', '0.45421300', '0.76257400', '0.73742600', '0.04578700', '0.48902600', '0.22776100', '0.01097400', '0.27223900', '0.77354800', '0.72645200', '0.53481300', '0.96518700', '0.54578700', '0.23742600', '0.26257400', '0.95421300', '0.51097400', '0.77223900', '0.98902600', '0.72776100'","0.50000000', '0.00000000', '0.50000000', '0.00000000', '0.03568000', '0.46432000', '0.78568000', '0.71432000', '0.25000000', '0.75000000', '0.96432000', '0.53568000', '0.21432000', '0.28568000', '0.75000000', '0.25000000', '0.45421300', '0.76257400', '0.73742600', '0.04578700', '0.48902600', '0.22776100', '0.01097400', '0.27223900', '0.22645200', '0.27354800', '0.46518700', '0.03481300', '0.54578700', '0.23742600', '0.26257400', '0.95421300', '0.51097400', '0.77223900', '0.98902600', '0.72776100', '0.77354800', '0.72645200', '0.53481300', '0.96518700'","[...,.75 00 05 00 [..]00 075 05"
"Th', 'O', 'O'","0.00000000', '0.75000000', '0.25000000'","0.00000000', '0.75000000', '0.25000000'","0.00000000', '0.75000000', '0.25000000'","[.,.75 05 025 075 025 [.]05 075"
"Pd', 'Pd', 'Pd', 'Pd', 'Pd', 'Pd', 'Pd', 'Pd', 'Pd', 'Pd', 'Pd', 'Pd', 'Pd', 'Pd', 'Se', 'Se', 'Se', 'Se'","0.08143000', '0.58143000', '0.40133200', '0.90133200', '0.59866800', '0.09866800', '0.65732000', '0.15732000', '0.34268000', '0.84268000', '0.41857000', '0.91857000', '0.50000000', '0.00000000', '0.22811700', '0.72811700', '0.77188300', '0.27188300'","0.20601400', '0.79398600', '0.96742100', '0.03257900', '0.03257900', '0.96742100', '0.57343900', '0.42656100', '0.42656100', '0.57343900', '0.20601400', '0.79398600', '0.50000000', '0.50000000', '0.77411200', '0.22588800', '0.22588800', '0.77411200'","0.57278100', '0.92721900', '0.35136900', '0.14863100', '0.64863100', '0.85136900', '0.20798900', '0.29201100', '0.79201100', '0.70798900', '0.07278100', '0.42721900', '0.50000000', '0.00000000', '0.62168200', '0.87831800', '0.37831800', '0.12168200'","[.75 00 025 075 025 [.,.]05 05 075 [..] 025"
"Cu', 'Cu', 'Cu', 'Cu', 'O', 'O'","0.25000000', '0.75000000', '0.25000000', '0.75000000', '0.50000000', '0.00000000'","0.25000000', '0.25000000', '0.75000000', '0.75000000', '0.50000000', '0.00000000'","0.75000000', '0.25000000', '0.25000000', '0.75000000', '0.50000000', '0.00000000'","[.75 05 025 075 025 [.,.75 [.]05 075"
"Ba', 'Ba', 'S', 'S', 'S', 'S', 'S', 'S'","0.50000000', '0.00000000', '0.82156700', '0.32156700', '0.00000000', '0.50000000', '0.17843300', '0.67843300'","0.50000000', '0.00000000', '0.67843300', '0.82156700', '0.50000000', '0.00000000', '0.32156700', '0.17843300'","0.00000000', '0.00000000', '0.47423800', '0.52576200', '0.21046100', '0.78953900', '0.47423800', '0.52576200'","[.,.67,.25 00 075 025 05 05 [.]025 075"
"K', 'F'","0.00000000', '0.50000000'","0.00000000', '0.50000000'","0.00000000', '0.50000000'","00 05 00 00 [.,.]05 05"
"Ba', 'Zn'","0.00000000', '0.50000000'","0.00000000', '0.50000000'","0.00000000', '0.50000000'","00 05 00 00 [.5 05 [.,.]05 075 05"
"C', 'C', 'C', 'C'","0.33333300', '0.66666700', '0.66666700', '0.33333300'","0.66666700', '0.33333300', '0.33333300', '0.66666700'","0.06277200', '0.56277200', '0.93722800', '0.43722800'","[.75 05 025 075 025 [.,.]05 075"
"Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Se', 'Se', 'Se', 'Se', 'Se', 'Se', 'Se', 'Se', 'Se', 'Se', 'Se', 'Se', 'Se', 'Se', 'Se', 'Se', 'Se', 'Se'","0.25000000', '0.75000000', '0.25000000', '0.75000000', '0.25000000', '0.75000000', '0.25000000', '0.75000000', '0.25000000', '0.75000000', '0.25000000', '0.75000000', '0.75000000', '0.25000000', '0.75000000', '0.25000000', '0.75000000', '0.25000000', '0.75000000', '0.25000000', '0.75000000', '0.25000000', '0.75000000', '0.25000000'","0.69431600', '0.30568400', '0.33614100', '0.66385900', '0.35214600', '0.64785400', '0.25711100', '0.74288900', '0.44865600', '0.55134400', '0.10778500', '0.89221500', '0.54992500', '0.45007500', '0.18786200', '0.81213800', '0.20776100', '0.79223900', '0.19372000', '0.80628000', '0.20511100', '0.79488900', '0.53369200', '0.46630800'","0.46265400', '0.53734600', '0.78891400', '0.21108600', '0.11551300', '0.88448700', '0.42386600', '0.57613400', '0.59294900', '0.40705100', '0.57442600', '0.42557400', '0.06895000', '0.93105000', '0.07869700', '0.92130300', '0.23270100', '0.76729900', '0.90540200', '0.09459800', '0.72013600', '0.27986400', '0.75034400', '0.24965600'","[...,.75 00 05 00 [..]00 075 05 [.] 05"
"Zr', 'Zr', 'Cr', 'Cr', 'Cr', 'Cr'","0.25000000', '0.00000000', '0.62500000', '0.62500000', '0.12500000', '0.62500000'","0.25000000', '0.00000000', '0.62500000', '0.12500000', '0.62500000', '0.62500000'","0.25000000', '0.00000000', '0.12500000', '0.62500000', '0.62500000', '0.62500000'","[.75 05 025 075 025 [.,.75 [.]05 075"
"Y', 'Mg'","0.00000000', '0.50000000'","0.00000000', '0.50000000'","0.00000000', '0.50000000'","00 05 00 00 [.,.]05 05 [.75 025 025"
"Nd', 'Nd', 'Nd', 'Nd', 'Nd', 'Nd', 'Nd', 'Nd', 'Nd', 'Nd', 'Nd', 'Nd', 'Nd', 'Nd', 'Nd', 'Nd', 'Nd', 'Nd', 'Nd', 'Nd', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si'","0.48123100', '0.98123100', '0.87276900', '0.12723100', '0.51876900', '0.37276900', '0.62723100', '0.01876900', '0.62274700', '0.37725300', '0.98858800', '0.48858800', '0.51141200', '0.87725300', '0.12274700', '0.01141200', '0.30860200', '0.19139800', '0.80860200', '0.69139800', '0.28782700', '0.71217300', '0.92257400', '0.42257400', '0.57742600', '0.21217300', '0.78782700', '0.07742600', '0.80565400', '0.19434600', '0.83056900', '0.33056900', '0.66943100', '0.69434600', '0.30565400', '0.16943100'","0.37276900', '0.12723100', '0.01876900', '0.98123100', '0.62723100', '0.48123100', '0.51876900', '0.87276900', '0.98858800', '0.01141200', '0.62274700', '0.87725300', '0.12274700', '0.48858800', '0.51141200', '0.37725300', '0.30860200', '0.80860200', '0.19139800', '0.69139800', '0.92257400', '0.07742600', '0.28782700', '0.21217300', '0.78782700', '0.42257400', '0.57742600', '0.71217300', '0.83056900', '0.16943100', '0.80565400', '0.69434600', '0.30565400', '0.33056900', '0.66943100', '0.19434600'","0.12596700', '0.62403300', '0.87596700', '0.37596700', '0.62596700', '0.87403300', '0.37403300', '0.12403300', '0.44821000', '0.94821000', '0.55179000', '0.19821000', '0.69821000', '0.80179000', '0.30179000', '0.05179000', '0.50000000', '0.75000000', '0.25000000', '0.00000000', '0.55972500', '0.05972500', '0.44027500', '0.30972500', '0.80972500', '0.69027500', '0.19027500', '0.94027500', '0.70124200', '0.20124200', '0.29875800', '0.45124200', '0.95124200', '0.54875800', '0.04875800', '0.79875800'","[...,.75 00 05 00 [..]00 075 05 [. [.].. "
